iter	Passed	Remaining
0	2	2216
1	3	1738
2	4	1562
3	5	1393
4	6	1343
5	7	1302
6	8	1275
7	10	1255
8	11	1236
9	12	1196
10	13	1186
11	14	1175
12	15	1168
13	16	1161
14	17	1167
15	19	1173
16	20	1167
17	21	1169
18	22	1154
19	23	1159
20	24	1163
21	26	1171
22	27	1178
23	29	1184
24	30	1190
25	31	1194
26	33	1204
27	34	1200
28	35	1203
29	37	1210
30	38	1217
31	40	1216
32	41	1225
33	42	1214
34	43	1211
35	45	1218
36	46	1217
37	48	1221
38	49	1225
39	51	1228
40	52	1233
41	53	1225
42	55	1238
43	57	1240
44	58	1244
45	60	1250
46	62	1258
47	63	1255
48	64	1256
49	66	1254
50	67	1253
51	68	1251
52	69	1249
53	70	1242
54	72	1242
55	73	1244
56	75	1245
57	77	1255
58	78	1254
59	79	1251
60	81	1249
61	82	1247
62	83	1242
63	84	1239
64	85	1235
65	87	1233
66	88	1229
67	89	1222
68	90	1218
69	91	1220
70	93	1223
71	95	1229
72	97	1233
73	98	1232
74	99	1230
75	100	1227
76	101	1221
77	102	1217
78	104	1215
79	105	1211
80	106	1206
81	107	1207
82	110	1215
83	110	1209
84	112	1207
85	113	1204
86	114	1199
87	115	1195
88	116	1192
89	117	1190
90	118	1185
91	119	1183
92	121	1182
93	122	1179
94	123	1180
95	125	1179
96	126	1179
97	127	1178
98	129	1181
99	131	1181
100	132	1180
101	133	1176
102	134	1169
103	135	1164
104	136	1159
105	138	1164
106	139	1163
107	140	1160
108	141	1158
109	143	1164
110	145	1164
111	147	1168
112	148	1166
113	149	1164
114	151	1163
115	152	1163
116	153	1161
117	155	1160
118	156	1157
119	157	1156
120	158	1152
121	159	1150
122	161	1148
123	162	1145
124	163	1144
125	164	1142
126	165	1140
127	167	1138
128	168	1138
129	170	1139
130	171	1139
131	172	1135
132	174	1136
133	175	1136
134	177	1136
135	178	1136
136	180	1135
137	181	1134
138	183	1135
139	185	1137
140	186	1138
141	187	1135
142	189	1134
143	190	1133
144	192	1134
145	193	1133
146	195	1132
147	196	1131
148	197	1129
149	198	1125
150	200	1124
151	200	1120
152	202	1119
153	203	1117
154	204	1116
155	205	1112
156	206	1111
157	208	1109
158	209	1108
159	210	1107
160	212	1105
161	213	1103
162	214	1102
163	215	1100
164	217	1099
165	218	1097
166	219	1094
167	220	1092
168	221	1091
169	223	1089
170	224	1088
171	225	1086
172	226	1084
173	228	1082
174	229	1080
175	230	1078
176	231	1076
177	232	1075
178	234	1073
179	235	1071
180	236	1069
181	237	1067
182	238	1065
183	239	1063
184	240	1061
185	241	1058
186	243	1056
187	244	1054
188	244	1050
189	246	1048
190	247	1046
191	248	1044
192	249	1042
193	250	1040
194	251	1038
195	252	1035
196	253	1032
197	254	1030
198	255	1028
199	256	1026
200	257	1023
201	258	1022
202	259	1020
203	260	1017
204	261	1015
205	263	1013
206	264	1011
207	265	1009
208	266	1007
209	267	1005
210	268	1003
211	269	1000
212	270	998
213	271	997
214	272	995
215	273	993
216	274	991
217	275	989
218	276	987
219	277	985
220	278	983
221	279	981
222	280	979
223	282	976
224	283	974
225	284	973
226	285	971
227	286	969
228	287	967
229	288	965
230	289	963
231	290	961
232	291	959
233	292	957
234	293	955
235	294	953
236	295	951
237	296	950
238	298	950
239	299	949
240	300	947
241	302	946
242	303	945
243	304	944
244	305	942
245	306	940
246	308	939
247	309	937
248	310	936
249	311	934
250	312	933
251	313	931
252	315	930
253	316	929
254	317	928
255	318	927
256	320	926
257	321	924
258	322	923
259	324	922
260	325	921
261	326	919
262	328	920
263	330	920
264	331	920
265	333	918
266	334	918
267	335	916
268	336	915
269	337	913
270	339	912
271	340	910
272	341	909
273	342	908
274	343	906
275	345	905
276	346	904
277	347	902
278	348	901
279	349	899
