iter	RMSE
0	63572.88698
1	62641.06271
2	61771.82412
3	61052.66816
4	60254.37032
5	59608.21527
6	58832.55586
7	58058.14995
8	57354.39242
9	56854.04645
10	56234.56119
11	55636.01261
12	55165.43354
13	54622.84008
14	54053.8624
15	53595.26485
16	53118.14101
17	52609.33957
18	52252.83709
19	51865.41776
20	51512.78719
21	51125.23785
22	50731.33974
23	50357.37131
24	50030.37137
25	49751.79108
26	49428.01244
27	49059.18615
28	48719.86592
29	48395.71589
30	48140.93225
31	47909.9811
32	47594.50902
33	47436.23494
34	47165.58166
35	46948.35521
36	46707.48905
37	46484.0846
38	46323.98399
39	46164.48884
40	46000.17702
41	45902.14848
42	45723.64744
43	45567.74106
44	45365.27263
45	45180.57388
46	45015.31365
47	44913.70457
48	44784.2398
49	44620.15288
50	44458.43316
51	44337.703
52	44217.41492
53	44143.50686
54	44030.77514
55	43903.69976
56	43802.48691
57	43710.02812
58	43608.43065
59	43501.90976
60	43399.0001
61	43287.6007
62	43228.52042
63	43119.00398
64	43049.31738
65	43000.43619
66	42932.59346
67	42885.11985
68	42842.59487
69	42763.80993
70	42693.47609
71	42637.07744
72	42543.67229
73	42479.00081
74	42411.00313
75	42349.47353
76	42330.55969
77	42263.45976
78	42209.89044
79	42123.87692
80	42114.44007
81	42048.05756
82	41995.83754
83	41961.72621
84	41921.64774
85	41874.32512
86	41821.47878
87	41760.85172
88	41717.86386
89	41643.71502
90	41572.18576
91	41525.60593
92	41470.59008
93	41455.80059
94	41383.17761
95	41325.78626
96	41270.25607
97	41237.29828
98	41208.71065
99	41172.97697
100	41129.66542
101	41096.72135
102	41092.31016
103	41081.97484
104	41066.97462
105	41013.58314
106	40970.34665
107	40937.83688
108	40903.97939
109	40851.51877
110	40829.90751
111	40806.25688
112	40779.04029
113	40745.31255
114	40700.71373
115	40659.2061
116	40643.82303
117	40582.65771
118	40568.77954
119	40532.02957
120	40516.384
121	40481.71358
122	40446.35852
123	40405.86536
124	40367.45537
125	40343.87203
126	40314.04336
127	40275.79172
128	40234.1207
129	40199.24396
130	40167.04988
131	40164.48049
132	40131.53991
133	40092.55885
134	40062.08753
135	40039.9274
136	40008.54758
137	39989.15641
138	39963.10898
139	39927.91184
140	39896.48769
141	39880.45922
142	39860.60001
143	39837.11171
144	39814.14678
145	39790.50353
146	39756.47655
147	39728.27715
148	39715.45546
149	39709.05869
150	39693.22143
151	39691.7773
152	39665.45108
153	39638.09402
154	39614.81299
155	39608.66631
156	39597.87312
157	39563.69148
158	39544.59194
159	39519.71173
160	39489.21354
161	39474.60729
162	39457.18448
163	39441.13171
164	39416.95408
165	39396.95736
166	39382.00664
167	39352.67291
168	39325.92259
169	39301.14643
170	39273.339
171	39233.80873
172	39212.34775
173	39182.26198
174	39156.96674
175	39133.91479
176	39123.17774
177	39100.07716
178	39080.58739
179	39060.60255
180	39033.9697
181	39018.9291
182	39007.07777
183	38992.80708
184	38972.68814
185	38953.25524
186	38931.37432
187	38910.20629
188	38905.63178
189	38886.22096
190	38871.13415
191	38852.91301
192	38838.15733
193	38820.77228
194	38795.12024
195	38778.61201
196	38756.37276
197	38733.4918
198	38700.38201
199	38679.39626
200	38657.58003
201	38634.82149
202	38611.86059
203	38598.23043
204	38570.82332
205	38555.96939
206	38541.94864
207	38522.11609
208	38504.22295
209	38474.91445
210	38455.37368
211	38441.9512
212	38404.01672
213	38375.55983
214	38348.39598
215	38327.15426
216	38308.55226
217	38293.31208
218	38277.76679
219	38266.58045
220	38242.73152
221	38225.97157
222	38209.20148
223	38193.79635
224	38182.06642
225	38163.18155
226	38143.17726
227	38128.96737
228	38110.22904
229	38095.2926
230	38082.97229
231	38068.49642
232	38056.71084
233	38036.44315
234	38022.62451
235	38010.97784
236	38002.25663
237	37986.05984
238	37970.52865
239	37957.36592
240	37946.30075
241	37932.59403
242	37912.71064
243	37902.31426
244	37890.21545
245	37880.5173
246	37859.37982
247	37844.65712
248	37834.45055
249	37823.19322
250	37811.22791
251	37801.86522
252	37791.74511
253	37782.41376
254	37773.15122
255	37762.36753
256	37747.83605
257	37735.01754
258	37723.40171
259	37711.68664
260	37698.20252
261	37686.38313
262	37671.05914
263	37656.9611
264	37647.94835
265	37638.03231
266	37622.96119
267	37613.95914
268	37605.71685
269	37595.27283
270	37582.76833
271	37570.02966
272	37559.15209
273	37551.25729
274	37537.93824
275	37528.84163
276	37519.6983
277	37510.40635
278	37501.93622
279	37494.20423
280	37484.64546
281	37477.06336
282	37468.97212
283	37459.80941
284	37451.09939
285	37442.11688
286	37428.88938
287	37419.79833
288	37414.14
289	37406.59242
290	37396.00356
291	37387.18313
292	37375.01406
293	37368.0209
294	37362.20425
295	37353.6938
296	37343.69592
297	37333.73995
298	37326.44163
299	37320.17128
300	37305.96495
301	37299.64596
302	37289.84578
303	37282.27233
304	37274.53101
305	37268.53594
306	37259.51903
307	37251.41717
308	37234.82015
309	37227.87551
310	37218.71779
311	37213.06597
312	37204.61716
313	37196.72562
314	37189.86451
315	37175.08779
316	37167.99866
317	37159.47307
318	37152.54766
319	37145.8551
320	37139.38603
321	37130.16384
322	37124.4912
323	37118.61229
324	37104.18569
325	37097.94341
326	37092.60077
327	37081.57277
328	37073.35688
329	37067.05736
330	37061.91016
331	37046.11407
332	37040.90969
333	37035.90662
334	37018.81892
335	37011.15803
336	37006.54468
337	36999.34339
338	36986.90009
339	36979.26828
340	36973.59637
341	36969.83687
342	36964.29406
343	36957.45958
344	36951.26098
345	36942.39876
346	36935.10303
347	36930.09606
348	36921.91291
349	36914.72076
350	36903.38699
351	36898.53138
352	36891.66855
